,Unnamed: 0,ward code,total_room,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate,ward name,nonwork_rate,middle_high_class_pro,advanced_education_rate,public_transport_station_coverage,average_commute_distance,All Usual residents,unhealthy_rate,disabled_pro,average_crime,young_people,children_teenager,old_people,middle_aged,household_deprivation_rate,mean_rent_price
0,0,E05009294,27,27.0,0.0,0.0,0.0,158.37037037037038,6.555555555555555,1.9529166666666664,36.96296296296296,4.660666666666667,,,,,,,,,,,,,,,,
1,1,E05009317,388,180.0,0.0,206.0,2.0,109.10309278350516,4.979381443298969,0.8723972602739727,91.18556701030928,4.675285714285714,Bethnal Green,0.14,0.41,0.19,0.45,3.24,21219.0,0.05,0.14,209.46,0.2,0.18,0.06,0.56,0.61,1328.37
2,2,E05009318,374,227.0,0.0,143.0,4.0,141.47326203208556,5.409090909090909,1.2953237410071945,124.7379679144385,4.666619047619047,Blackwall & Cubitt Town,0.09,0.58,0.13,0.56,2.74,21823.0,0.03,0.09,134.58,0.16,0.14,0.04,0.66,0.44,1348.4
3,3,E05009319,432,256.0,0.0,175.0,1.0,112.25462962962963,3.9421296296296298,0.8539714285714285,74.125,4.780306513409962,Bow East,0.11,0.54,0.09,0.47,2.72,19535.0,0.05,0.14,164.42,0.12,0.16,0.06,0.66,0.5,1315.48
4,4,E05009320,282,156.0,1.0,118.0,7.0,105.97163120567376,3.868794326241135,0.8742660550458716,84.15248226950355,4.7173652694610775,Bow West,0.11,0.5,0.1,0.45,2.96,13713.0,0.05,0.14,119.96,0.14,0.16,0.08,0.62,0.55,1302.59
5,5,E05009321,134,85.0,0.0,49.0,0.0,105.3955223880597,4.462686567164179,0.9556190476190476,85.93283582089552,4.684342105263158,Bromley North,0.17,0.41,0.11,0.56,3.83,11436.0,0.06,0.14,95.54,0.14,0.2,0.06,0.6,0.6,1203.39
6,6,E05009322,161,93.0,0.0,68.0,0.0,104.28571428571428,4.919254658385094,0.9124590163934428,96.7888198757764,4.7541758241758245,Bromley South,0.16,0.43,0.14,0.55,3.33,14231.0,0.05,0.13,91.33,0.17,0.2,0.04,0.59,0.57,1164.4
7,7,E05009323,472,358.0,0.0,113.0,1.0,195.59957627118644,9.302966101694915,0.9382539682539685,152.40254237288136,4.697547169811321,Canary Wharf,0.1,0.61,0.11,0.53,2.23,17928.0,0.03,0.09,195.88,0.15,0.14,0.03,0.68,0.42,1343.18
8,8,E05009324,184,85.0,0.0,98.0,1.0,105.2554347826087,5.75,1.0225,103.16847826086956,4.666138613861386,Island Gardens,0.11,0.54,0.1,0.52,2.86,14905.0,0.04,0.12,58.0,0.13,0.17,0.06,0.64,0.49,1274.88
9,9,E05009325,251,112.0,0.0,138.0,1.0,104.88844621513944,4.705179282868526,0.9282162162162162,107.17529880478088,4.662198581560284,Lansbury,0.16,0.4,0.14,0.55,3.71,21747.0,0.05,0.14,158.42,0.17,0.22,0.06,0.55,0.6,1225.48
10,10,E05009326,99,59.0,0.0,40.0,0.0,127.33333333333331,5.494949494949495,1.0356060606060604,103.02020202020202,4.712083333333333,Limehouse,0.1,0.61,0.07,0.53,2.35,6748.0,0.04,0.11,39.04,0.12,0.12,0.06,0.7,0.42,1358.43
11,11,E05009327,330,164.0,0.0,166.0,0.0,104.04242424242425,3.824242424242424,1.0544488188976378,97.56969696969696,4.637447916666667,Mile End,0.15,0.43,0.13,0.52,3.4,21817.0,0.05,0.13,168.42,0.17,0.2,0.05,0.58,0.57,1273.38
