,WD22NM,total_room,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate
0,Abbey,170,110.0,0.0,60.0,0.0,146.95882352941177,3.6705882352941175,0.843015873015873,131.15882352941176,4.670459770114943
1,Abbey Road,195,152.0,0.0,43.0,0.0,183.89743589743588,5.287179487179487,1.3629323308270678,128.51282051282053,4.677920792079208
2,Abbey Wood,85,37.0,0.0,48.0,0.0,87.37647058823529,4.176470588235294,0.8227868852459016,228.43529411764706,4.650212765957447
3,Abingdon,278,227.0,0.0,51.0,0.0,220.1474820143885,4.5215827338129495,0.8743523316062176,150.74100719424462,4.572039473684211
4,Addiscombe East,33,13.0,0.0,20.0,0.0,80.39393939393939,3.3636363636363638,1.2348000000000001,113.84848484848484,4.737777777777778
5,Addiscombe West,99,67.0,2.0,30.0,0.0,106.57575757575758,3.515151515151515,1.441168831168831,158.15151515151516,4.78476923076923
6,Addison,191,145.0,0.0,46.0,0.0,152.5392670157068,4.958115183246074,1.0248591549295776,104.17801047120419,4.662000000000001
7,Aldborough,36,5.0,0.0,31.0,0.0,66.27777777777777,2.388888888888889,0.9328571428571429,192.94444444444446,4.668695652173913
8,Alexandra,15,9.0,0.0,6.0,0.0,106.46666666666667,4.066666666666666,0.99,155.8,4.6899999999999995
9,Alexandra Park,69,41.0,0.0,28.0,0.0,128.33333333333334,3.0,0.74,147.84057971014494,4.7504347826086954
10,Alibon,26,15.0,0.0,10.0,1.0,102.15384615384616,2.3846153846153846,0.4436842105263158,156.26923076923077,4.490769230769231
11,Alperton,37,18.0,0.0,19.0,0.0,92.05405405405405,4.621621621621622,0.7184615384615385,125.54054054054055,4.673333333333333
12,Arnos Grove,22,14.0,0.0,8.0,0.0,111.5909090909091,4.136363636363637,0.8083333333333333,147.9090909090909,4.826153846153846
13,Arsenal,203,132.0,1.0,69.0,1.0,129.08374384236453,4.344827586206897,0.9636129032258065,96.51231527093596,4.700973451327434
14,Avonmore,164,123.0,0.0,40.0,1.0,174.71951219512195,4.121951219512195,0.9923853211009175,118.64024390243902,4.629753086419753
15,Balham,177,121.0,0.0,56.0,0.0,155.24858757062148,5.3559322033898304,0.869172932330827,83.89265536723164,4.789907407407407
16,Barking Riverside,32,18.0,0.0,14.0,0.0,102.25,2.15625,0.8455,217.5,4.741333333333333
17,Barkingside,36,15.0,0.0,21.0,0.0,87.41666666666667,1.6944444444444444,0.5557142857142857,140.44444444444446,4.61
18,Barnehurst,11,4.0,0.0,7.0,0.0,88.81818181818181,2.1818181818181817,0.5771428571428572,259.45454545454544,4.475
19,Barnes,66,45.0,0.0,20.0,1.0,242.57575757575756,4.212121212121212,0.6463414634146342,144.54545454545453,4.7978125
20,Barnet Vale,60,21.0,0.0,39.0,0.0,123.66666666666667,2.466666666666667,0.8472500000000001,190.13333333333333,4.707586206896552
21,Barnhill,77,41.0,0.0,36.0,0.0,128.8961038961039,4.532467532467533,1.496065573770492,136.0,4.6378260869565215
22,Barnsbury,300,221.0,0.0,79.0,0.0,163.86666666666667,4.71,1.1020627802690584,87.55,4.694230769230769
23,Battersea Park,386,217.0,0.0,167.0,2.0,141.22797927461139,4.0310880829015545,1.3280555555555555,91.54145077720207,4.710438247011952
24,Bayswater,554,441.0,8.0,103.0,2.0,193.0505415162455,5.4296028880866425,1.1012162162162162,102.27436823104694,4.657033898305085
25,Beam,20,11.0,0.0,9.0,0.0,110.45,1.9,0.49933333333333335,198.25,4.497777777777777
26,Beam Park,16,7.0,0.0,9.0,0.0,77.0625,2.9375,1.486,203.875,4.6866666666666665
27,Beckenham Town & Copers Cope,49,25.0,0.0,24.0,0.0,102.55102040816327,3.0,1.3239473684210528,161.48979591836735,4.742333333333334
28,Beckton,96,48.0,0.0,46.0,2.0,112.0625,2.6875,1.0549253731343284,155.83333333333334,4.5531250000000005
29,Becontree,20,14.0,0.0,6.0,0.0,122.8,2.8,0.9516666666666667,185.15,4.79375
30,Beddington,18,4.0,0.0,14.0,0.0,51.611111111111114,2.8333333333333335,1.1492307692307693,140.77777777777777,4.596
31,Bedfont,68,31.0,0.0,36.0,1.0,109.58823529411765,1.9411764705882353,1.5769767441860465,186.19117647058823,4.470625
32,Bellingham,41,17.0,0.0,24.0,0.0,70.26829268292683,4.414634146341464,0.8875757575757576,168.46341463414635,4.796086956521739
33,Belmont,30,14.0,0.0,15.0,1.0,109.23333333333333,2.2333333333333334,0.7766666666666667,211.73333333333332,4.551666666666667
34,Belmore,13,2.0,0.0,11.0,0.0,92.84615384615384,1.7692307692307692,0.5128571428571428,179.0,4.5825
35,Belsize,239,193.0,0.0,46.0,0.0,182.5732217573222,6.489539748953975,0.7429608938547486,116.02092050209205,4.752442748091603
36,Belvedere,62,30.0,0.0,32.0,0.0,90.33870967741936,3.725806451612903,1.0327906976744186,197.80645161290323,4.68258064516129
37,Bensham Manor,64,12.0,0.0,51.0,1.0,74.9375,2.1875,1.068292682926829,204.28125,4.684666666666667
38,Berrylands,14,7.0,0.0,7.0,0.0,97.14285714285714,4.214285714285714,0.8266666666666667,157.64285714285714,4.933636363636364
39,Bethnal Green,388,180.0,0.0,206.0,2.0,109.10309278350516,4.979381443298969,0.8723972602739727,91.18556701030928,4.675285714285714
40,Bexleyheath,31,12.0,0.0,19.0,0.0,88.09677419354838,1.967741935483871,2.748125,269.5806451612903,4.805714285714286
41,Bickley & Sundridge,31,21.0,0.0,10.0,0.0,132.96774193548387,3.5161290322580645,0.4466666666666667,134.4516129032258,4.828125
42,Biggin Hill,9,3.0,0.0,6.0,0.0,111.77777777777777,5.666666666666667,0.5971428571428571,218.0,4.84
43,Blackfen & Lamorbey,20,13.0,0.0,7.0,0.0,93.2,10.95,1.2305882352941178,116.95,4.8307142857142855
44,Blackheath,149,91.0,0.0,57.0,1.0,123.59731543624162,3.6241610738255035,0.6927966101694916,116.30872483221476,4.7250000000000005
45,Blackheath Westcombe,129,81.0,0.0,48.0,0.0,124.84496124031008,4.364341085271318,1.0233636363636363,114.12403100775194,4.818723404255319
46,Blackwall & Cubitt Town,374,227.0,0.0,143.0,4.0,141.47326203208556,5.409090909090909,1.2953237410071943,124.7379679144385,4.666619047619047
47,Blendon & Penhill,16,7.0,0.0,9.0,0.0,78.3125,3.625,0.8041666666666667,240.5,4.852222222222222
48,Bloomsbury,688,504.0,0.0,172.0,12.0,214.96075581395348,4.267441860465116,1.425419708029197,136.1206395348837,4.599048625792812
49,Boleyn,36,14.0,0.0,20.0,2.0,99.36111111111111,2.6666666666666665,1.11625,113.63888888888889,4.7195238095238095
50,Borough & Bankside,320,228.0,0.0,92.0,0.0,193.990625,5.746875,1.1177911646586345,112.65625,4.6710047846889955
51,Bounds Green,73,33.0,0.0,40.0,0.0,113.42465753424658,4.315068493150685,0.9212962962962963,118.23287671232876,4.81
52,Bow East,432,256.0,0.0,175.0,1.0,112.25462962962963,3.9421296296296298,0.8539714285714285,74.125,4.780306513409962
53,Bow West,282,156.0,1.0,118.0,7.0,105.97163120567376,3.868794326241135,0.8742660550458716,84.15248226950355,4.7173652694610775
54,Bowes,49,17.0,0.0,32.0,0.0,103.46938775510205,2.6122448979591835,0.8196428571428571,198.6122448979592,4.8376190476190475
55,Brentford East,67,58.0,0.0,9.0,0.0,157.47761194029852,7.014925373134329,0.8173076923076923,199.9402985074627,4.632790697674419
56,Brentford West,80,54.0,0.0,26.0,0.0,128.8,3.75,1.1887096774193548,133.7375,4.79047619047619
57,Bridge,61,41.0,0.0,18.0,2.0,139.95081967213116,4.524590163934426,1.4558695652173912,87.93442622950819,4.7134375
58,Brimsdown,40,15.0,1.0,24.0,0.0,83.225,2.875,0.9966666666666667,224.325,4.684444444444444
59,Brixton Acre Lane,323,205.0,0.0,118.0,0.0,115.39318885448917,3.4643962848297214,0.8453875968992248,70.63467492260062,4.7564646464646465
